Label	Weight	Text
EventHistory	1	Saint Louis University vision and mission
EventHistory	1	Saint Louis University college
EventHistory	1	SLU intermediate grade
EventHistory	1	When is Research and Inventions Exhibit
EventHistory	1	CICM day
EventHistory	1	When is extension and outreach week
EventHistory	1	Christmas salo-salo
EventHistory	1	When is Christmas SALO-SALO
EventHistory	1	When Intermediate grade started in SLU
EventHistory	1	SLU intramural
EventHistory	1	SLU mission
EventHistory	1	SLU college
EventHistory	1	When is the prelim exams
EventHistory	1	Xmas
EventHistory	1	New year
EventHistory	1	Final Exams
EventHistory	1	Holy week
EventHistory	1	Graduation day
EventHistory	1	EDSA People Power Revolution
EventHistory	1	When is EDSA People Power Revolution
EventHistory	1	What is Saint Louis University  vision and mission.
EventHistory	1	Saint Louis University CICM day
EventHistory	1	Cordillera day
EventHistory	1	When is  handog ng slu sa baguio and lantern parade
EventHistory	1	When is Independence Day
EventHistory	1	Xmas salo salo
EventHistory	1	Intramural
EventHistory	1	Christmas
EventHistory	1	EDSA
EventHistory	1	Saint Louis University graduate program
EventHistory	1	When College started in Saint Louis University
EventHistory	1	Saint Louis University Foundation week
EventHistory	1	When is foundation week
EventHistory	1	When was SLU established
EventHistory	1	When is the final exams
EventHistory	1	SLU vision and mission
EventHistory	1	When Intermediate grade started in Saint Louis University
EventHistory	1	When is All Saints' Day
EventHistory	1	Foundation week
EventHistory	1	Gaward awards for students
EventHistory	1	When is national heroes day
EventHistory	1	Xmas salo-salo
EventHistory	1	Research exhibit
EventHistory	1	Research and inventions exhibit
EventHistory	1	National heroes day
EventHistory	1	When is the midterm exams
EventHistory	1	Saint Louis University intramural
EventHistory	1	College
EventHistory	1	Bonifacio day
EventHistory	1	Saint Louis University Hymn
EventHistory	1	Chinese new year
EventHistory	1	Finals
EventHistory	1	SLU graduate program
EventHistory	1	When Graduate program started in Saint Louis University
EventHistory	1	Gawad awards
EventHistory	1	Lantern parade
EventHistory	1	When is National Heroes` Day
EventHistory	1	When is Labor Day
EventHistory	1	When is New Year's Day
EventHistory	1	Ninoy Aquino day
EventHistory	1	Graduate program
EventHistory	1	Xmas day
EventHistory	1	When High school started in Saint Louis University
EventHistory	1	When is Chinese New Year
EventHistory	1	Short term enrollment
EventHistory	1	When was Saint Louis University established
EventHistory	1	When is the graduation
EventHistory	1	When is Baccalaureate Mass and Graduation Exercises
EventHistory	1	When is lantern parade
EventHistory	1	When is Christmas Day
EventHistory	1	Short Term Start of Classes
EventHistory	1	Preliminary Exams
EventHistory	1	When is the intramural
EventHistory	1	Prelims
EventHistory	1	Saint Louis University high school
EventHistory	1	Research and inventions month
EventHistory	1	When was SLU started
EventHistory	1	When is CICM Day
EventHistory	1	Christmas salo salo
EventHistory	1	When is new year
EventHistory	1	Vision and Mission
EventHistory	1	When was Saint Louis University started
EventHistory	1	When is  University foundation and anniversary week
EventHistory	1	Independence day
EventHistory	1	Graduation exercise
EventHistory	1	Midterm Exams
EventHistory	1	All Saints' Day
EventHistory	1	SLU Hymn
FriendlyChat	1	Please shut up
